name,position,age,nation,club,value,league
Luciano Acosta,Attacking Midfield,31,Argentina,FC Dallas,€6.00m,MLS
Tomas Aviles,Centre-Back,21,Argentina,Inter Miami CF,€6.00m,MLS
David Da Costa,Attacking Midfield,24,Portugal,Portland Timbers,€6.00m,MLS
Alonso Martinez,Centre-Forward,26,Costa Rica,New York City FC,€6.00m,MLS
Ryan Gauld,Attacking Midfield,29,Scotland,Vancouver Whitecaps FC,€6.00m,MLS
Martin Ojeda,Left Winger,26,Argentina,Orlando City SC,€6.00m,MLS
Dejan Joveljic,Centre-Forward,25,Serbia,Sporting Kansas City,€5.50m,MLS
Tani Oluwaseyi,Centre-Forward,25,Canada,Minnesota United FC,€5.00m,MLS
Cristian Espinoza,Right Winger,30,Argentina,San Jose Earthquakes,€5.00m,MLS
Sam Surridge,Centre-Forward,26,England,Nashville SC,€5.00m,MLS
Wilfried Zaha,Left Winger,32,Cote d'Ivoire,Charlotte FC,€5.00m,MLS
Kai Wagner,Left-Back,28,Germany,Philadelphia Union,€5.00m,MLS
Jack McGlynn,Central Midfield,22,United States,Houston Dynamo FC,€5.00m,MLS
Osman Bukari,Right Winger,26,Ghana,Austin FC,€5.00m,MLS
Ezequiel Ponce,Centre-Forward,28,Argentina,Houston Dynamo FC,€5.00m,MLS
Tai Baribo,Centre-Forward,27,Israel,Philadelphia Union,€5.00m,MLS
Quinn Sullivan,Central Midfield,21,United States,Philadelphia Union,€5.00m,MLS
Rafael Navarro,Centre-Forward,25,Brazil,Colorado Rapids,€5.00m,MLS
Brian Gutierrez,Attacking Midfield,22,United States,Chicago Fire FC,€5.00m,MLS
Djordje Mihailovic,Attacking Midfield,26,United States,Colorado Rapids,€5.00m,MLS
Benja Cremaschi,Central Midfield,20,United States,Inter Miami CF,€5.00m,MLS
Antony,Left Winger,23,Brazil,Portland Timbers,€5.00m,MLS
Marco Pasalic,Right Winger,24,Croatia,Orlando City SC,€5.00m,MLS
Federico Redondo,Defensive Midfield,22,Argentina,Inter Miami CF,€5.00m,MLS
Brian White,Centre-Forward,29,United States,Vancouver Whitecaps FC,€5.00m,MLS
Amine Bassi,Attacking Midfield,27,Morocco,Houston Dynamo FC,€4.50m,MLS
Luca Langoni,Right Winger,23,Argentina,New England Revolution,€4.50m,MLS
Marcel Hartel,Central Midfield,29,Germany,St. Louis CITY SC,€4.50m,MLS
Pep Biel,Attacking Midfield,28,Spain,Charlotte FC,€4.50m,MLS
Luca Orellano,Right Winger,25,Argentina,FC Cincinnati,€4.50m,MLS
Baltasar Rodriguez,Attacking Midfield,22,Argentina,Inter Miami CF,€4.50m,MLS
Eduard Lowen,Central Midfield,28,Germany,St. Louis CITY SC,€4.00m,MLS
Pedro de la Vega,Right Winger,24,Argentina,Seattle Sounders FC,€4.00m,MLS
Lucas Sanabria,Defensive Midfield,21,Uruguay,Los Angeles Galaxy,€4.00m,MLS
Marcus Ingvartsen,Centre-Forward,29,Denmark,San Diego FC,€4.00m,MLS
Braian Ojeda,Central Midfield,25,Paraguay,Real Salt Lake City,€4.00m,MLS
Alex Roldan,Right-Back,28,El Salvador,Seattle Sounders FC,€4.00m,MLS
Jesus Ferreira,Centre-Forward,24,United States,Seattle Sounders FC,€4.00m,MLS
Nicolas Fernandez Mercau,Attacking Midfield,25,Argentina,New York City FC,€4.00m,MLS
Agustin Ojeda,Left Winger,21,Argentina,New York City FC,€4.00m,MLS
Julian Fernandez,Right Winger,21,Argentina,New York City FC,€4.00m,MLS
Onni Valakari,Attacking Midfield,25,Finland,San Diego FC,€4.00m,MLS
Cole Bassett,Attacking Midfield,23,United States,Colorado Rapids,€4.00m,MLS
Adilson Malanda,Centre-Back,23,France,Charlotte FC,€4.00m,MLS
Cristian Roldan,Central Midfield,30,United States,Seattle Sounders FC,€4.00m,MLS
Wessam Abou Ali,Centre-Forward,26,Palestine,Columbus Crew,€4.00m,MLS
Jordan Morris,Centre-Forward,30,United States,Seattle Sounders FC,€4.00m,MLS
Andres Cubas,Defensive Midfield,29,Paraguay,Vancouver Whitecaps FC,€4.00m,MLS
Lewis Morgan,Left Winger,28,Scotland,New York Red Bulls,€4.00m,MLS
Saba Lobjanidze,Left Winger,30,Georgia,Atlanta United FC,€4.00m,MLS
Kevin Kelsy,Centre-Forward,21,Venezuela,Portland Timbers,€4.00m,MLS
Bartosz Slisz,Defensive Midfield,26,Poland,Atlanta United FC,€4.00m,MLS
David Ayala,Defensive Midfield,23,Argentina,Portland Timbers,€4.00m,MLS
Enea Mihaj,Centre-Back,27,Albania,Atlanta United FC,€4.00m,MLS
Jacob Shaffelburg,Left Winger,25,Canada,Nashville SC,€4.00m,MLS
Nouhou,Left-Back,28,Cameroon,Seattle Sounders FC,€3.50m,MLS
Bongokuhle Hlongwane,Right Winger,25,South Africa,Minnesota United FC,€3.50m,MLS
Hassani Dotson,Central Midfield,27,United States,Minnesota United FC,€3.50m,MLS
Cedric Teuchert,Centre-Forward,28,Germany,St. Louis CITY SC,€3.50m,MLS
Jakob Glesnes,Centre-Back,31,Norway,Philadelphia Union,€3.50m,MLS
DeJuan Jones,Left-Back,28,United States,San Jose Earthquakes,€3.50m,MLS
Joaquin Pereyra,Central Midfield,26,Argentina,Minnesota United FC,€3.50m,MLS
Manu Garcia,Attacking Midfield,27,Spain,Sporting Kansas City,€3.50m,MLS
Igor Jesus,Defensive Midfield,22,Brazil,Los Angeles FC,€3.50m,MLS
Ahmed Qasem,Right Winger,22,Sweden,Nashville SC,€3.50m,MLS
Hugo Picard,Left Midfield,22,France,Columbus Crew,€3.50m,MLS
Jonathan Bamba,Left Winger,29,Cote d'Ivoire,Chicago Fire FC,€3.50m,MLS
Jacen Russell-Rowe,Centre-Forward,22,Canada,Columbus Crew,€3.50m,MLS
Miles Robinson,Centre-Back,28,United States,FC Cincinnati,€3.50m,MLS
Cesar Araujo,Defensive Midfield,24,Uruguay,Orlando City SC,€3.50m,MLS
Paul Arriola,Right Winger,30,United States,Seattle Sounders FC,€3.50m,MLS
Albert Rusnak,Attacking Midfield,31,Slovakia,Seattle Sounders FC,€3.50m,MLS
Keaton Parks,Defensive Midfield,27,United States,New York City FC,€3.50m,MLS
Diogo Goncalves,Left Winger,28,Portugal,Real Salt Lake City,€3.50m,MLS
Santiago Moreno,Right Winger,25,Colombia,Portland Timbers,€3.50m,MLS
Bilal El Khannouss,Attacking Midfield,21,Morocco,Leicester City,€28.00m,Championship
Tyler Dibling,Right Winger,19,England,Southampton FC,€25.00m,Championship
Leif Davis,Left-Back,25,England,Ipswich Town,€22.00m,Championship
Omari Hutchinson,Attacking Midfield,21,England,Ipswich Town,€22.00m,Championship
Taylor Harwood-Bellis,Centre-Back,23,England,Southampton FC,€22.00m,Championship
Jacob Greaves,Centre-Back,24,England,Ipswich Town,€18.00m,Championship
Anel Ahmedhodzic,Centre-Back,26,Bosnia-Herzegovina,Sheffield United,€18.00m,Championship
Finn Azaz,Attacking Midfield,24,Ireland,Middlesbrough FC,€16.00m,Championship
Josh Sargent,Centre-Forward,25,United States,Norwich City,€16.00m,Championship
Jaden Philogene,Left Winger,23,England,Ipswich Town,€16.00m,Championship
Gustavo Hamer,Left Midfield,28,Netherlands,Sheffield United,€16.00m,Championship
Aaron Ramsdale,Goalkeeper,27,England,Southampton FC,€16.00m,Championship
Mathias Kvistgaarden,Centre-Forward,23,Denmark,Norwich City,€15.00m,Championship
Jack Clarke,Left Winger,24,England,Ipswich Town,€15.00m,Championship
Wilfred Ndidi,Defensive Midfield,28,Nigeria,Leicester City,€15.00m,Championship
Wout Faes,Centre-Back,27,Belgium,Leicester City,€15.00m,Championship
Mads Hermansen,Goalkeeper,25,Denmark,Leicester City,€15.00m,Championship
Victor Kristiansen,Left-Back,22,Denmark,Leicester City,€15.00m,Championship
Mateus Fernandes,Central Midfield,21,Portugal,Southampton FC,€15.00m,Championship
Dara O'Shea,Centre-Back,26,Ireland,Ipswich Town,€14.00m,Championship
James Justin,Right-Back,27,England,Leicester City,€13.00m,Championship
Flynn Downes,Defensive Midfield,26,England,Southampton FC,€13.00m,Championship
Hayden Hackney,Defensive Midfield,23,England,Middlesbrough FC,€12.00m,Championship
Boubakary Soumare,Defensive Midfield,26,France,Leicester City,€12.00m,Championship
Harrison Burrows,Left-Back,23,England,Sheffield United,€12.00m,Championship
Jack Rudoni,Central Midfield,24,England,Coventry City,€12.00m,Championship
Adam Armstrong,Centre-Forward,28,England,Southampton FC,€12.00m,Championship
Cameron Archer,Centre-Forward,23,England,Southampton FC,€12.00m,Championship
Issahaku Fatawu,Right Winger,21,Ghana,Leicester City,€11.00m,Championship
Jay Stansfield,Centre-Forward,22,England,Birmingham City,€11.00m,Championship
Yukinari Sugawara,Right-Back,25,Japan,Southampton FC,€11.00m,Championship
Morgan Whittaker,Right Winger,24,England,Middlesbrough FC,€10.00m,Championship
Sammie Szmodics,Attacking Midfield,29,Ireland,Ipswich Town,€10.00m,Championship
Stephy Mavididi,Left Winger,27,England,Leicester City,€10.00m,Championship
Tom Cannon,Centre-Forward,22,Ireland,Sheffield United,€10.00m,Championship
Milan van Ewijk,Right-Back,24,Netherlands,Coventry City,€10.00m,Championship
Oliver Skipp,Defensive Midfield,24,England,Leicester City,€10.00m,Championship
Tommy Doyle,Central Midfield,23,England,Birmingham City,€10.00m,Championship
Josh Maja,Centre-Forward,26,Nigeria,West Bromwich Albion,€10.00m,Championship
Tom Fellows,Right Midfield,22,England,West Bromwich Albion,€10.00m,Championship
Caleb Okoli,Centre-Back,24,Italy,Leicester City,€10.00m,Championship
Shea Charles,Defensive Midfield,21,Northern Ireland,Southampton FC,€10.00m,Championship
Harry Winks,Defensive Midfield,29,England,Leicester City,€9.00m,Championship
Ben Cabango,Centre-Back,25,Wales,Swansea City,€9.00m,Championship
Patson Daka,Centre-Forward,26,Zambia,Leicester City,€9.00m,Championship
Michael Cooper,Goalkeeper,25,England,Sheffield United,€9.00m,Championship
Kyogo Furuhashi,Centre-Forward,30,Japan,Birmingham City,€9.00m,Championship
Jan Bednarek,Centre-Back,29,Poland,Southampton FC,€9.00m,Championship
Armel Bella-Kotchap,Centre-Back,23,Germany,Southampton FC,€9.00m,Championship
Gavin Bazunu,Goalkeeper,23,Ireland,Southampton FC,€9.00m,Championship
Caleb Wiley,Left-Back,20,United States,Watford FC,€8.00m,Championship
Azor Matusiwa,Defensive Midfield,27,Netherlands,Ipswich Town,€8.00m,Championship
Viktor Johansson,Goalkeeper,26,Sweden,Stoke City,€8.00m,Championship
Ben Johnson,Right-Back,25,England,Ipswich Town,€8.00m,Championship
Ante Crnac,Centre-Forward,21,Croatia,Norwich City,€8.00m,Championship
Haji Wright,Centre-Forward,27,United States,Coventry City,€8.00m,Championship
Tyrese Campbell,Centre-Forward,25,England,Sheffield United,€8.00m,Championship
Eiran Cashin,Centre-Back,23,Ireland,Birmingham City,€8.00m,Championship
Tommy Conway,Centre-Forward,22,Scotland,Middlesbrough FC,€7.50m,Championship
Sydie Peck,Central Midfield,20,England,Sheffield United,€7.50m,Championship
Ben Brereton Diaz,Centre-Forward,26,Chile,Southampton FC,€7.50m,Championship
Chiedozie Ogbene,Right Winger,28,Ireland,Ipswich Town,€7.00m,Championship
Matej Jurasek,Right Winger,21,Czech Republic,Norwich City,€7.00m,Championship
Ben Sheaf,Defensive Midfield,27,England,Coventry City,€7.00m,Championship
Jason Knight,Central Midfield,24,Ireland,Bristol City,€7.00m,Championship
Anis Mehmeti,Left Winger,24,Albania,Bristol City,€7.00m,Championship
Josh Eccles,Central Midfield,25,England,Coventry City,€7.00m,Championship
Ephron Mason-Clark,Left Winger,25,England,Coventry City,€6.50m,Championship
Bright Osayi-Samuel,Right-Back,27,Nigeria,Birmingham City,€6.50m,Championship
Samuel Edozie,Left Winger,22,England,Southampton FC,€6.00m,Championship
Ilias Chair,Attacking Midfield,27,Morocco,Queens Park Rangers,€6.00m,Championship
Damion Downs,Centre-Forward,21,United States,Southampton FC,€6.00m,Championship
Luke Thomas,Left-Back,24,England,Leicester City,€6.00m,Championship
Joe Aribo,Central Midfield,29,Nigeria,Southampton FC,€6.00m,Championship
Ellis Simms,Centre-Forward,24,England,Coventry City,€6.00m,Championship
Marcelino Nunez,Central Midfield,25,Chile,Norwich City,€6.00m,Championship
Imran Louza,Central Midfield,26,Morocco,Watford FC,€6.00m,Championship
Conor Chaplin,Second Striker,28,England,Ipswich Town,€6.00m,Championship
Will Smallbone,Central Midfield,25,Ireland,Southampton FC,€6.00m,Championship
Harry Souttar,Centre-Back,26,Australia,Leicester City,€6.00m,Championship
Carlton Morris,Centre-Forward,29,England,Derby County,€5.50m,Championship
James Beadle,Goalkeeper,21,England,Birmingham City,€5.00m,Championship
Arijanet Muric,Goalkeeper,26,Kosovo,Ipswich Town,€5.00m,Championship
Matt Grimes,Defensive Midfield,30,England,Coventry City,€5.00m,Championship
Jose Cordoba,Centre-Back,24,Panama,Norwich City,€4.80m,Championship
Ben Wilmot,Centre-Back,25,England,Stoke City,€4.80m,Championship
Emil Riis,Centre-Forward,27,Denmark,Bristol City,€4.50m,Championship
Ricardo Pereira,Right-Back,31,Portugal,Leicester City,€4.50m,Championship
Giorgi Chakvetadze,Attacking Midfield,25,Georgia,Watford FC,€4.50m,Championship
Ryan Giles,Left-Back,25,England,Hull City,€4.50m,Championship
Harry Clarke,Right-Back,24,England,Ipswich Town,€4.50m,Championship
Amankwah Forson,Central Midfield,22,Ghana,Norwich City,€4.50m,Championship
Liam Kitching,Centre-Back,25,England,Coventry City,€4.50m,Championship
Rav van den Berg,Centre-Back,21,Netherlands,Middlesbrough FC,€4.50m,Championship
Mohamed Belloumi,Right Winger,23,Algeria,Hull City,€4.50m,Championship
Scott Twine,Attacking Midfield,26,England,Bristol City,€4.50m,Championship
Hamza Choudhury,Defensive Midfield,27,Bangladesh,Leicester City,€4.50m,Championship
Nathan Broadhead,Left Winger,27,Wales,Ipswich Town,€4.50m,Championship
Tatsuhiro Sakamoto,Right Midfield,28,Japan,Coventry City,€4.50m,Championship
Papa Amadou Diallo,Left Winger,21,Senegal,Norwich City,€4.00m,Championship
Jorrel Hato,Left-Back,19,Netherlands,Ajax Amsterdam,€35.00m,Eredivisie
Igor Paixao,Left Winger,25,Brazil,Feyenoord Rotterdam,€35.00m,Eredivisie
Quinten Timber,Central Midfield,24,Netherlands,Feyenoord Rotterdam,€30.00m,Eredivisie
Kenneth Taylor,Central Midfield,23,Netherlands,Ajax Amsterdam,€28.00m,Eredivisie
Ismael Saibari,Central Midfield,24,Morocco,PSV Eindhoven,€27.00m,Eredivisie
Joey Veerman,Central Midfield,26,Netherlands,PSV Eindhoven,€25.00m,Eredivisie
Josip Sutalo,Centre-Back,25,Croatia,Ajax Amsterdam,€24.00m,Eredivisie
Jerdy Schouten,Defensive Midfield,28,Netherlands,PSV Eindhoven,€22.00m,Eredivisie
Brian Brobbey,Centre-Forward,23,Netherlands,Ajax Amsterdam,€22.00m,Eredivisie
Ryan Flamingo,Centre-Back,22,Netherlands,PSV Eindhoven,€20.00m,Eredivisie
Ricardo Pepi,Centre-Forward,22,United States,PSV Eindhoven,€16.00m,Eredivisie
Sergino Dest,Right-Back,24,United States,PSV Eindhoven,€16.00m,Eredivisie
Givairo Read,Right-Back,19,Netherlands,Feyenoord Rotterdam,€16.00m,Eredivisie
Sem Steijn,Attacking Midfield,23,Netherlands,Feyenoord Rotterdam,€16.00m,Eredivisie
Troy Parrott,Centre-Forward,23,Ireland,AZ Alkmaar,€14.00m,Eredivisie
Anis Hadj Moussa,Right Winger,23,Algeria,Feyenoord Rotterdam,€14.00m,Eredivisie
Guus Til,Attacking Midfield,27,Netherlands,PSV Eindhoven,€12.00m,Eredivisie
Mauro Junior,Left-Back,26,Brazil,PSV Eindhoven,€12.00m,Eredivisie
Youri Baas,Centre-Back,22,Netherlands,Ajax Amsterdam,€12.00m,Eredivisie
Jakub Moder,Central Midfield,26,Poland,Feyenoord Rotterdam,€12.00m,Eredivisie
Kiliann Sildillia,Right-Back,23,France,PSV Eindhoven,€10.00m,Eredivisie
Peer Koopmeiners,Defensive Midfield,25,Netherlands,AZ Alkmaar,€10.00m,Eredivisie
Mika Godts,Left Winger,20,Belgium,Ajax Amsterdam,€10.00m,Eredivisie
In-beom Hwang,Central Midfield,28,"Korea, South",Feyenoord Rotterdam,€10.00m,Eredivisie
Wouter Goes,Centre-Back,21,Netherlands,AZ Alkmaar,€10.00m,Eredivisie
Alexandre Penetra,Centre-Back,23,Portugal,AZ Alkmaar,€9.00m,Eredivisie
Tsuyoshi Watanabe,Centre-Back,28,Japan,Feyenoord Rotterdam,€9.00m,Eredivisie
Souffian El Karouani,Left-Back,24,Morocco,FC Utrecht,€9.00m,Eredivisie
David Moller Wolfe,Left-Back,23,Norway,AZ Alkmaar,€9.00m,Eredivisie
Sven Mijnans,Attacking Midfield,25,Netherlands,AZ Alkmaar,€9.00m,Eredivisie
Jorthy Mokio,Defensive Midfield,17,Belgium,Ajax Amsterdam,€8.00m,Eredivisie
Ruben van Bommel,Left Winger,20,Netherlands,PSV Eindhoven,€8.00m,Eredivisie
Thomas Beelen,Centre-Back,24,Netherlands,Feyenoord Rotterdam,€8.00m,Eredivisie
Ayase Ueda,Centre-Forward,26,Japan,Feyenoord Rotterdam,€8.00m,Eredivisie
Mexx Meerdink,Centre-Forward,22,Netherlands,AZ Alkmaar,€8.00m,Eredivisie
Bertrand Traore,Right Winger,29,Burkina Faso,Ajax Amsterdam,€8.00m,Eredivisie
Yoann Cathline,Left Winger,23,France,FC Utrecht,€8.00m,Eredivisie
Raul Moro,Left Winger,22,Spain,Ajax Amsterdam,€7.50m,Eredivisie
Yarek Gasiorowski,Centre-Back,20,Spain,PSV Eindhoven,€7.50m,Eredivisie
Anton Gaaei,Right-Back,22,Denmark,Ajax Amsterdam,€7.00m,Eredivisie
Luciano Valente,Attacking Midfield,21,Netherlands,Feyenoord Rotterdam,€7.00m,Eredivisie
Calvin Stengs,Attacking Midfield,26,Netherlands,Feyenoord Rotterdam,€7.00m,Eredivisie
Gijs Smal,Left-Back,27,Netherlands,Feyenoord Rotterdam,€7.00m,Eredivisie
Chuba Akpom,Centre-Forward,29,England,Ajax Amsterdam,€7.00m,Eredivisie
Mees Hilgers,Centre-Back,24,Indonesia,Twente Enschede FC,€6.50m,Eredivisie
Jordan Lotomba,Right-Back,26,Switzerland,Feyenoord Rotterdam,€6.50m,Eredivisie
Casper Tengstedt,Centre-Forward,25,Denmark,Feyenoord Rotterdam,€6.00m,Eredivisie
Adamo Nagalo,Centre-Back,22,Burkina Faso,PSV Eindhoven,€6.00m,Eredivisie
Bart van Rooij,Right-Back,24,Netherlands,Twente Enschede FC,€6.00m,Eredivisie
Timon Wellenreuther,Goalkeeper,29,Germany,Feyenoord Rotterdam,€6.00m,Eredivisie
Rome Jayden Owusu-Oduro,Goalkeeper,21,Netherlands,AZ Alkmaar,€6.00m,Eredivisie
Youri Regeer,Central Midfield,21,Netherlands,Ajax Amsterdam,€6.00m,Eredivisie
Oliver Antman,Right Winger,23,Finland,Go Ahead Eagles,€6.00m,Eredivisie
Kees Smit,Central Midfield,19,Netherlands,AZ Alkmaar,€5.00m,Eredivisie
Oliver Edvardsen,Left Winger,26,Norway,Ajax Amsterdam,€5.00m,Eredivisie
Leo Sauer,Left Winger,19,Slovakia,Feyenoord Rotterdam,€5.00m,Eredivisie
Jakob Breum,Attacking Midfield,21,Denmark,Go Ahead Eagles,€5.00m,Eredivisie
Matej Kovar,Goalkeeper,25,Czech Republic,PSV Eindhoven,€5.00m,Eredivisie
Michel Vlap,Attacking Midfield,28,Netherlands,Twente Enschede FC,€5.00m,Eredivisie
Ahmetcan Kaplan,Centre-Back,22,Türkiye,Ajax Amsterdam,€5.00m,Eredivisie
Julian Carranza,Centre-Forward,25,Argentina,Feyenoord Rotterdam,€5.00m,Eredivisie
Goncalo Borges,Right Winger,24,Portugal,Feyenoord Rotterdam,€5.00m,Eredivisie
Ramiz Zerrouki,Defensive Midfield,27,Algeria,Feyenoord Rotterdam,€5.00m,Eredivisie
Kian Fitz-Jim,Central Midfield,22,Netherlands,Ajax Amsterdam,€5.00m,Eredivisie
Alassane Plea,Centre-Forward,32,France,PSV Eindhoven,€5.00m,Eredivisie
Justin Bijlow,Goalkeeper,27,Netherlands,Feyenoord Rotterdam,€5.00m,Eredivisie
Miguel Rodriguez,Right Winger,22,Spain,FC Utrecht,€4.50m,Eredivisie
Wout Weghorst,Centre-Forward,32,Netherlands,Ajax Amsterdam,€4.00m,Eredivisie
Jacob Trenskow,Right Winger,24,Denmark,SC Heerenveen,€4.00m,Eredivisie
Sontje Hansen,Right Winger,23,Netherlands,NEC Nijmegen,€4.00m,Eredivisie
Oliver Braude,Right-Back,21,Norway,SC Heerenveen,€4.00m,Eredivisie
Oussama Targhalline,Defensive Midfield,23,Morocco,Feyenoord Rotterdam,€4.00m,Eredivisie
Sivert Mannsverk,Defensive Midfield,23,Norway,Ajax Amsterdam,€4.00m,Eredivisie
Seiya Maikuma,Right-Back,27,Japan,AZ Alkmaar,€4.00m,Eredivisie
Marcus Linday,Central Midfield,22,Sweden,SC Heerenveen,€4.00m,Eredivisie
Robin Roefs,Goalkeeper,22,Netherlands,NEC Nijmegen,€4.00m,Eredivisie
Sam Lammers,Centre-Forward,28,Netherlands,Twente Enschede FC,€4.00m,Eredivisie
Vitezslav Jaros,Goalkeeper,24,Czech Republic,Ajax Amsterdam,€4.00m,Eredivisie
Daan Rots,Right Winger,24,Netherlands,Twente Enschede FC,€4.00m,Eredivisie
Kristian Hlynsson,Attacking Midfield,21,Iceland,Twente Enschede FC,€4.00m,Eredivisie
Gjivai Zechiel,Defensive Midfield,21,Netherlands,FC Utrecht,€4.00m,Eredivisie
Kodai Sano,Central Midfield,21,Japan,NEC Nijmegen,€4.00m,Eredivisie
Ernest Poku,Right Winger,21,Netherlands,AZ Alkmaar,€4.00m,Eredivisie
Zidane Iqbal,Central Midfield,22,Iraq,FC Utrecht,€4.00m,Eredivisie
Denso Kasius,Right-Back,22,Netherlands,AZ Alkmaar,€4.00m,Eredivisie
Stije Resink,Defensive Midfield,22,Netherlands,FC Groningen,€4.00m,Eredivisie
Couhaib Driouech,Left Winger,23,Morocco,PSV Eindhoven,€4.00m,Eredivisie
Steven Berghuis,Right Winger,33,Netherlands,Ajax Amsterdam,€3.50m,Eredivisie
Zico Buurmeester,Central Midfield,23,Netherlands,AZ Alkmaar,€3.50m,Eredivisie
Vasilios Barkas,Goalkeeper,31,Greece,FC Utrecht,€3.50m,Eredivisie
Siebe Horemans,Right-Back,27,Belgium,FC Utrecht,€3.50m,Eredivisie
Davy Klaassen,Central Midfield,32,Netherlands,Ajax Amsterdam,€3.50m,Eredivisie
Kristijan Belic,Defensive Midfield,24,Serbia,AZ Alkmaar,€3.50m,Eredivisie
Can Bozdogan,Central Midfield,24,Germany,FC Utrecht,€3.50m,Eredivisie
Owen Wijndal,Left-Back,25,Netherlands,Ajax Amsterdam,€3.50m,Eredivisie
Nick Olij,Goalkeeper,29,Netherlands,PSV Eindhoven,€3.50m,Eredivisie
Branco van den Boomen,Central Midfield,30,Netherlands,Ajax Amsterdam,€3.50m,Eredivisie
Tobias Lauritsen,Centre-Forward,27,Norway,Sparta Rotterdam,€3.50m,Eredivisie
Ibrahim Sadiq,Right Winger,25,Ghana,AZ Alkmaar,€3.50m,Eredivisie
Mayckel Lahdo,Right Winger,22,Sweden,AZ Alkmaar,€3.00m,Eredivisie
Jhon Duran,Centre-Forward,21,Colombia,Fenerbahce,€35.00m,SuperLig
Leroy Sane,Right Winger,29,Germany,Galatasaray,€32.00m,SuperLig
Orkun Kokcu,Central Midfield,24,Türkiye,Besiktas JK,€30.00m,SuperLig
Youssef En-Nesyri,Centre-Forward,28,Morocco,Fenerbahce,€24.00m,SuperLig
Gabriel Sara,Central Midfield,26,Brazil,Galatasaray,€22.00m,SuperLig
Baris Alper Yilmaz,Left Winger,25,Türkiye,Galatasaray,€21.00m,SuperLig
Davinson Sanchez,Centre-Back,29,Colombia,Galatasaray,€20.00m,SuperLig
Gedson Fernandes,Central Midfield,26,Portugal,Besiktas JK,€18.00m,SuperLig
Sofyan Amrabat,Defensive Midfield,28,Morocco,Fenerbahce,€17.00m,SuperLig
Sebastian Szymanski,Attacking Midfield,26,Poland,Fenerbahce,€15.00m,SuperLig
Tammy Abraham,Centre-Forward,27,England,Besiktas JK,€15.00m,SuperLig
Yunus Akgun,Right Winger,25,Türkiye,Galatasaray,€14.00m,SuperLig
Jayden Oosterwolde,Left-Back,24,Netherlands,Fenerbahce,€13.00m,SuperLig
Lucas Torreira,Defensive Midfield,29,Uruguay,Galatasaray,€13.00m,SuperLig
Nicolo Zaniolo,Attacking Midfield,26,Italy,Galatasaray,€12.00m,SuperLig
Yusuf Akcicek,Centre-Back,19,Türkiye,Fenerbahce,€12.00m,SuperLig
Semih Kilicsoy,Centre-Forward,19,Türkiye,Besiktas JK,€12.00m,SuperLig
Oguz Aydin,Left Winger,24,Türkiye,Fenerbahce,€11.00m,SuperLig
Ismail Yuksek,Defensive Midfield,26,Türkiye,Fenerbahce,€11.00m,SuperLig
Romulo,Centre-Forward,23,Brazil,Göztepe,€11.00m,SuperLig
Alvaro Morata,Centre-Forward,32,Spain,Galatasaray,€11.00m,SuperLig
Fred,Central Midfield,32,Brazil,Fenerbahce,€10.00m,SuperLig
Talisca,Attacking Midfield,31,Brazil,Fenerbahce,€10.00m,SuperLig
Victor Nelsson,Centre-Back,26,Denmark,Galatasaray,€10.00m,SuperLig
